	                                	
----------------------------------------------------------------

	                                	ImageProcessingApp
	                                	2023.07.27.02.42.25.497233
	                                	
----------------------------------------------------------------

	2023.07.27.02.42.25.576365      	Intializing StrategyManager ... 
	2023.07.27.02.43.25.661395      			Retreving batch #126 w/ 128 samples
	2023.07.27.02.43.26.083358      			Retreving batch #127 w/ 128 samples
	2023.07.27.02.43.26.538933      			Retreving batch #128 w/ 128 samples
	2023.07.27.02.43.26.969543      			Retreving batch #129 w/ 128 samples
	2023.07.27.02.43.27.398396      			Retreving batch #130 w/ 128 samples
	2023.07.27.02.43.27.825686      			Retreving batch #131 w/ 128 samples
	2023.07.27.02.43.28.255536      			Retreving batch #132 w/ 128 samples
	2023.07.27.02.43.28.736251      			Retreving batch #133 w/ 128 samples
	2023.07.27.02.43.29.160836      			Retreving batch #134 w/ 128 samples
	2023.07.27.02.43.29.636669      			Retreving batch #135 w/ 128 samples
	2023.07.27.02.43.30.064777      			Retreving batch #136 w/ 128 samples
	2023.07.27.02.43.30.531932      			Retreving batch #137 w/ 128 samples
	2023.07.27.02.43.30.958188      			Retreving batch #138 w/ 128 samples
	2023.07.27.02.43.31.397962      			Retreving batch #139 w/ 128 samples
	2023.07.27.02.43.31.821829      			Retreving batch #140 w/ 128 samples
	2023.07.27.02.43.32.247899      			Retreving batch #141 w/ 128 samples
	2023.07.27.02.43.32.730608      			Retreving batch #142 w/ 128 samples
	2023.07.27.02.43.33.156378      			Retreving batch #143 w/ 128 samples
	2023.07.27.02.43.33.632333      			Retreving batch #144 w/ 128 samples
	2023.07.27.02.43.34.058710      			Retreving batch #145 w/ 128 samples
	2023.07.27.02.43.34.529451      			Retreving batch #146 w/ 128 samples
	2023.07.27.02.43.34.952523      			Retreving batch #147 w/ 128 samples
	2023.07.27.02.43.35.396572      			Retreving batch #148 w/ 128 samples
	2023.07.27.02.43.35.834186      			Retreving batch #149 w/ 128 samples
	2023.07.27.02.43.36.256392      			Retreving batch #150 w/ 128 samples
	2023.07.27.02.43.36.733117      			Retreving batch #151 w/ 128 samples
	2023.07.27.02.43.37.162643      			Retreving batch #152 w/ 128 samples
	2023.07.27.02.43.37.633777      			Retreving batch #153 w/ 128 samples
	2023.07.27.02.43.38.060929      			Retreving batch #154 w/ 128 samples
	2023.07.27.02.43.38.498758      			Retreving batch #155 w/ 128 samples
	2023.07.27.02.43.38.924620      			Retreving batch #156 w/ 128 samples
	2023.07.27.02.43.39.358426      			Retreving batch #157 w/ 128 samples
	2023.07.27.02.43.39.810217      			Retreving batch #158 w/ 128 samples
	2023.07.27.02.43.40.235163      			Retreving batch #159 w/ 128 samples
	2023.07.27.02.43.40.704522      			Retreving batch #160 w/ 128 samples
	2023.07.27.02.43.41.132628      			Retreving batch #161 w/ 128 samples
	2023.07.27.02.43.41.608400      			Retreving batch #162 w/ 128 samples
	2023.07.27.02.43.42.032539      			Retreving batch #163 w/ 128 samples
	2023.07.27.02.43.42.486069      			Retreving batch #164 w/ 128 samples
	2023.07.27.02.43.42.918910      			Retreving batch #165 w/ 128 samples
	2023.07.27.02.43.43.346388      			Retreving batch #166 w/ 128 samples
	2023.07.27.02.43.43.789204      			Retreving batch #167 w/ 128 samples
	2023.07.27.02.43.44.212377      			Retreving batch #168 w/ 128 samples
	2023.07.27.02.43.44.649315      			Retreving batch #169 w/ 128 samples
	2023.07.27.02.43.45.072184      			Retreving batch #170 w/ 128 samples
	2023.07.27.02.43.45.544569      			Retreving batch #171 w/ 128 samples
	2023.07.27.02.43.45.987984      			Retreving batch #172 w/ 128 samples
	2023.07.27.02.43.46.425104      			Retreving batch #173 w/ 128 samples
	2023.07.27.02.43.46.857973      			Retreving batch #174 w/ 128 samples
	2023.07.27.02.43.47.281314      			Retreving batch #175 w/ 128 samples
	2023.07.27.02.43.47.741086      			Retreving batch #176 w/ 128 samples
	2023.07.27.02.43.48.162373      			Retreving batch #177 w/ 128 samples
	2023.07.27.02.43.48.639098      			Retreving batch #178 w/ 128 samples
	2023.07.27.02.43.49.063722      			Retreving batch #179 w/ 128 samples
	2023.07.27.02.43.49.528580      			Retreving batch #180 w/ 128 samples
	2023.07.27.02.43.49.957634      			Retreving batch #181 w/ 128 samples
	2023.07.27.02.43.50.388006      			Retreving batch #182 w/ 128 samples
	2023.07.27.02.43.50.825835      			Retreving batch #183 w/ 128 samples
	2023.07.27.02.43.51.247707      			Retreving batch #184 w/ 128 samples
	2023.07.27.02.43.51.720028      			Retreving batch #185 w/ 128 samples
	2023.07.27.02.43.52.146939      			Retreving batch #186 w/ 128 samples
	2023.07.27.02.43.52.610584      			Retreving batch #187 w/ 128 samples
	2023.07.27.02.43.53.032716      			Retreving batch #188 w/ 128 samples
	2023.07.27.02.43.53.486503      			Retreving batch #189 w/ 128 samples
	2023.07.27.02.43.53.917998      			Retreving batch #190 w/ 128 samples
	2023.07.27.02.43.54.347835      			Retreving batch #191 w/ 128 samples
